Hash,Id,Offset,OwnerSid,GroupSid,Control,SaclAceCount,UniqueSaclAceTypes,DaclAceCount,UniqueDaclAceTypes,FileOffset,SourceFile
CBC6FE32,256,0,S-1-5-18,S-1-5-32-544,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,0,C:\GitHub\KAPE\tout\D\$Secure_$SDS
F7C81434,257,128,S-1-5-18,S-1-5-32-544,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,128,C:\GitHub\KAPE\tout\D\$Secure_$SDS
19227620,258,256,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,256,C:\GitHub\KAPE\tout\D\$Secure_$SDS
59227620,259,384,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,384,C:\GitHub\KAPE\tout\D\$Secure_$SDS
91588E06,260,512,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,512,C:\GitHub\KAPE\tout\D\$Secure_$SDS
629B9F0A,261,640,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,1,AccessAllowed,640,C:\GitHub\KAPE\tout\D\$Secure_$SDS
D313D767,262,736,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,1,AccessAllowed,736,C:\GitHub\KAPE\tout\D\$Secure_$SDS
F506D323,263,848,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,1,AccessAllowed,848,C:\GitHub\KAPE\tout\D\$Secure_$SDS
B507D323,264,944,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,1,AccessAllowed,944,C:\GitHub\KAPE\tout\D\$Secure_$SDS
B90BF206,265,1040,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,2,AccessAllowed,1040,C:\GitHub\KAPE\tout\D\$Secure_$SDS
B1308DDE,266,1152,S-1-5-21-2507465465-2372827616-1507098901-1001,S-1-5-21-2507465465-2372827616-1507098901-1001,SeDaclPresent|SeSelfRelative,0,,4,AccessAllowed,1152,C:\GitHub\KAPE\tout\D\$Secure_$SDS
9930BDE7,267,1344,S-1-5-21-2507465465-2372827616-1507098901-1001,S-1-5-21-2507465465-2372827616-1507098901-1001,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,4,AccessAllowed,1344,C:\GitHub\KAPE\tout\D\$Secure_$SDS
9E5B0FC1,268,1536,S-1-5-21-2507465465-2372827616-1507098901-1001,S-1-5-21-2507465465-2372827616-1507098901-1001,SeDaclPresent|SeSaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,1,SystemMandatoryLabel,3,AccessAllowed,1536,C:\GitHub\KAPE\tout\D\$Secure_$SDS
9D8BC3CB,269,1744,S-1-5-21-2507465465-2372827616-1507098901-1001,S-1-5-21-2507465465-2372827616-1507098901-1001,SeDaclPresent|SeSaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,1,SystemMandatoryLabel,3,AccessAllowed,1744,C:\GitHub\KAPE\tout\D\$Secure_$SDS
9A67C3C5,270,1968,S-1-5-21-2507465465-2372827616-1507098901-1001,S-1-5-21-2507465465-2372827616-1507098901-1001,SeDaclPresent|SeSaclPresent|SeSaclAutoInherited|SeSelfRelative,1,SystemMandatoryLabel,3,AccessAllowed,1968,C:\GitHub\KAPE\tout\D\$Secure_$SDS
EFA8BCE0,271,2192,S-1-5-21-2507465465-2372827616-1507098901-1001,S-1-5-21-2507465465-2372827616-1507098901-1001,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,3,AccessAllowed,2192,C:\GitHub\KAPE\tout\D\$Secure_$SDS
CBC6FE32,256,0,S-1-5-18,S-1-5-32-544,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,262144,C:\GitHub\KAPE\tout\D\$Secure_$SDS
F7C81434,257,128,S-1-5-18,S-1-5-32-544,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,262272,C:\GitHub\KAPE\tout\D\$Secure_$SDS
19227620,258,256,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,262400,C:\GitHub\KAPE\tout\D\$Secure_$SDS
59227620,259,384,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,262528,C:\GitHub\KAPE\tout\D\$Secure_$SDS
91588E06,260,512,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,262656,C:\GitHub\KAPE\tout\D\$Secure_$SDS
629B9F0A,261,640,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,1,AccessAllowed,262784,C:\GitHub\KAPE\tout\D\$Secure_$SDS
D313D767,262,736,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,1,AccessAllowed,262880,C:\GitHub\KAPE\tout\D\$Secure_$SDS
F506D323,263,848,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,1,AccessAllowed,262992,C:\GitHub\KAPE\tout\D\$Secure_$SDS
B507D323,264,944,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,1,AccessAllowed,263088,C:\GitHub\KAPE\tout\D\$Secure_$SDS
B90BF206,265,1040,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,2,AccessAllowed,263184,C:\GitHub\KAPE\tout\D\$Secure_$SDS
B1308DDE,266,1152,S-1-5-21-2507465465-2372827616-1507098901-1001,S-1-5-21-2507465465-2372827616-1507098901-1001,SeDaclPresent|SeSelfRelative,0,,4,AccessAllowed,263296,C:\GitHub\KAPE\tout\D\$Secure_$SDS
9930BDE7,267,1344,S-1-5-21-2507465465-2372827616-1507098901-1001,S-1-5-21-2507465465-2372827616-1507098901-1001,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,4,AccessAllowed,263488,C:\GitHub\KAPE\tout\D\$Secure_$SDS
9E5B0FC1,268,1536,S-1-5-21-2507465465-2372827616-1507098901-1001,S-1-5-21-2507465465-2372827616-1507098901-1001,SeDaclPresent|SeSaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,1,SystemMandatoryLabel,3,AccessAllowed,263680,C:\GitHub\KAPE\tout\D\$Secure_$SDS
9D8BC3CB,269,1744,S-1-5-21-2507465465-2372827616-1507098901-1001,S-1-5-21-2507465465-2372827616-1507098901-1001,SeDaclPresent|SeSaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,1,SystemMandatoryLabel,3,AccessAllowed,263888,C:\GitHub\KAPE\tout\D\$Secure_$SDS
9A67C3C5,270,1968,S-1-5-21-2507465465-2372827616-1507098901-1001,S-1-5-21-2507465465-2372827616-1507098901-1001,SeDaclPresent|SeSaclPresent|SeSaclAutoInherited|SeSelfRelative,1,SystemMandatoryLabel,3,AccessAllowed,264112,C:\GitHub\KAPE\tout\D\$Secure_$SDS
EFA8BCE0,271,2192,S-1-5-21-2507465465-2372827616-1507098901-1001,S-1-5-21-2507465465-2372827616-1507098901-1001,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,3,AccessAllowed,264336,C:\GitHub\KAPE\tout\D\$Secure_$SDS
